EVTNAME250000;Kurobune appear;Kurobune appear;Kurobune appear;;;;;;;;;;;x
EVTDESC250000;The four Kurobune(Perry's Black Ships) have appeared at Uraga Harbor near Edo, and the American Admiral Perry has demanded that the Sakoku (national isolation) policy be removed.  Panic has ensued over the possibility of war with the USA and perhaps even the European powers. Japan's two hundred years of peace and isolation have been broken. The Bakufu eventually give in to the USA's aggresive behavior. Their entry into an unequal trade agreement with the USA signals the opening of Japan to the west. But the opening of Japan and the weakness of the Bakufu has angered court circles and the Emperor Koumei. In response to the trade agreement, the Emperor demands that the Bakufu expel all westerners from Japan. The country has now been divided between the two factions, the Sabaku Ha (pro-shogunate) and the Sonnou Ha(pro-court). The long conflicts has begun.;;;;;;;;;;;;;;x
EVTOPTA250000;How terrible is Western power!;How terrible is Western power!;How terrible is Western power!;;;;;;;;;;;x
EVTNAME250001;Kurobune appear;Kurobune appear;Kurobune appear;;;;;;;;;;;x
EVTDESC250001;The four Kurobune(Perry's Black Ships) have appeared at Uraga Harbor near Edo, and the American Admiral Perry has demanded that the Sakoku (national isolation) policy be removed.  Panic has ensued over the possibility of war with the USA and perhaps even the European powers. Japan's two hundred years of peace and isolation have been broken. The Bakufu eventually give in to the USA's aggresive behavior. Their entry into an unequal trade agreement with the USA signals the opening of Japan to the west. But the opening of Japan and the weakness of the Bakufu has angered court circles and the Emperor Koumei. In response to the trade agreement, the Emperor demands that the Bakufu expel all westerners from Japan. The country has now been divided between the two factions, the Sabaku Ha (pro-shogunate) and the Sonnou Ha(pro-court). The long conflicts has begun.;;;;;;;;;;;;;;x
EVTOPTA250001;How terrible is Western power!;How terrible is Western power!;How terrible is Western power!;;;;;;;;;;;x
EVTNAME250100;The Boshin War;The Boshin War;The Boshin War;;;;;;;;;;;x
EVTDESC250100;After many conflicts between both factions, the Imperial court secretly send orders to certain Daimyo, demanding the overthrow of the Bakufu and offering to restore all their assets in court. A few days later armies of pro-court Daimyos began to assault the Bakufu army around Kyoto. The Boshin War has broken out!;;;;;;;;;;;;;;x
EVTOPTA250100;Teach the rebellious clans a lesson!;Teach the rebellious clans a lesson;Teach the rebellious clans a lesson!;;;;;;;;;;;x
EVTNAME250101;The Boshin War;The Boshin War;The Boshin War;;;;;;;;;;;x
EVTDESC250101;After many conflicts between both factions, the Imperial court secretly send orders to certain Daimyo, demanding the overthrow of the Bakufu and offering to restore all their assets in court. A few days later armies of pro-court Daimyos began to assault the Bakufu army around Kyoto. The Boshin War has broken out!;;;;;;;;;;;;;;x
EVTOPTA250101;Let us join the Emperor's cause!;Let us join the Emperor's cause!;Let us join the Emperor's cause!;;;;;;;;;;;x
EVTOPTB250101;We abide by the Shogun and Bushido!;We abide by the Shogun and Bushido!;We abide by the Shogun and Bushido!;;;;;;;;;;;x
