ADA;Adal;Adal;Adal;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADA_ADJ;Adalan;Adalien;Adalisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADR;Andhra;Andhra;Andhra;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADR_ADJ;Andhra;Andhra;Andhra;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADW;Adamawa;Adamawa;Adamawa;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADW_ADJ;Adamawan;Adamawan;Adamawan;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG;Afghanistan;Afghanistan;Afghanistan;;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_absolute_monarchy;Afghanistan;Afghanistan;Afghanistan;;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_absolute_monarchy_ADJ;Afghan;Afghan;Afghanisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_ADJ;Afghan;Afghan;Afghanisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy;Afghanistan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy_ADJ;Afghan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFS;Afsharid Dynasty;Afsharid Dynasty;Afsharid Dynasty;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFS;Afsharid Dynasty;Afsharid Dynasty;Afsharid Dynasty;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFS_ADJ;Afsharid;Afsharid;Afsharid;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFS_ADJ;Afsharid;Afsharid;Afsharid;;;;;;;;;;;x;;;;;;;;;;;;;;;
AIN;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AIN_ADJ;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU;Ajuuraan State;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_absolute_monarchy;Ajuuraan Empire;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_ADJ;Ajuuraan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_democracy;Ajuuraan Republic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_fascist_dictatorship;Islamic Courts of Somalia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_fascist_dictatorship_ADJ;Somali;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_feudal_monarchy;Ajuuraan Sultanate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_hms_government;Ajuuraan Sultanate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_proletarian_dictatorship;People's Republic of East Somalia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_proletarian_dictatorship_ADJ;East Somali;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AJU_prussian_constitutionalism;Ajuuraan Empire;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ALH;Al Haasa;Al Haasa;Al Haasa;;;;;;;;;;;x;;;;;;;;;;;;;;;
ALH_ADJ;Haasalese;Haasalien;Haasaisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AMA;Amazonie;Amazonie;Amazonien;;;;;;;;;;;x;;;;;;;;;;;;;;;
AMA_ADJ;Amazonian;Amazonien;Amazonisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AMT;Amatsa;Amatsa;Amatsa;;;;;;;;;;;x;;;;;;;;;;;;;;;
AMT_ADJ;Amatsa;Amatsa;Amatsa;;;;;;;;;;;x;;;;;;;;;;;;;;;
ANG;Angola;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ANG_ADJ;Angolan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ANI;Anishinabe;Anishinabe;Anishinabe;Anishinabe;;;;;;;;;;x;;;;;;;;;;;;;;;
ANI;Anishinabe;Anishinabe;Anishinabe;;;;;;;;;;;x;;;;;;;;;;;;;;;
