heavy_industry_focus;Heavy Industry;;;;;;;;;;;;;x
consumer_goods_focus;Consumer Goods;;;;;;;;;;;;;x
military_goods_focus;Military Industry;;;;;;;;;;;;;x
immigration_colonization_focus;Immigration & Colonization;;;;;;;;;;;;;x
mechanical_industry_focus;Encourage Mechanical Industry;;;;;;;;;;;;;x
oil_focus;Encourage Oil Industry;;;;;;;;;;;;;x
electricity_focus;Encourage Electrical Power;;;;;;;;;;;;;x
furniture_focus;Encourage Furniture Industry;;;;;;;;;;;;;x
food_focus;Encourage Food Industry;;;;;;;;;;;;;x
bottling_focus;Encourage Bottling Industry;;;;;;;;;;;;;x
leather_focus;Encourage Leather Industry;;;;;;;;;;;;;x
tobacco_focus;Encourage Tobacco Industry;;;;;;;;;;;;;x
pharmaceuticals_focus;Encourage Pharmaceutical Industry;;;;;;;;;;;;;x
munitions_focus;Encourage Munitions Industry;;;;;;;;;;;;;x
cavalry_focus;Encourage Cavalry;;;;;;;;;;;;;x
