;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME185;$COUNTRY_ADJ$禁酒运动;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC185;$COUNTRY_ADJ$禁酒同盟今年在某个地区十分活跃，他们不仅开展运动骚扰当地居民和酒商，甚至许多有政治能力的成员已经进入了$CAPITAL$政府以大力推动他们的运动。;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME186;$COUNTRY_ADJ$歪风邪气;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC186;随着性丑闻在政府高层的暴露，过于放荡的文化在$COUNTRY$已经激起了广泛的批评。几名内阁成员因对其处置不力而饱受谴责，在首都$CAPITAL$已经有人在呼吁政府支持宗教团体提倡的节欲以及禁酒。;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2000_NEW;来自外地的移民者在来到一个新的国家时经常发现他们一起集中生活在一个相当狭小的区域，与自己左邻右舍的同一民族的同胞互相帮助，这样经常会形成一个民族聚居区，就像纽约的“小意大利”。我们其中一个省份也没有例外，那里的移民社区也已经形成了一个类似的聚居区，充满了来自移民者家乡的文化、语言与美食;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2010_NEW;“已经二十天了。在这二十天里我没有工作，没有钱，没有机会养家。二十天...当你不得不每天翻找垃圾桶以寻找食物时，二十天是那么漫长。我不想乞讨，我不想偷窃，但是二十天没有工作了...”\n\n鲜有离开祖国来到$COUNTRY$的人能够找到工作。;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2020_NEW;浪漫的气息充满了我们的一个省份，在那儿最近举办了一场外地移民与本地姑娘的婚礼，他们的朋友与家人都悉数到场祝贺。一些人质疑这样的发展，认为这意味着$COUNTRY_ADJ$文明的终结，不过这对情侣也确实看起来十分幸福。外来移民正逐渐改变着$COUNTRY$的大小一切。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EVTDESC2030_NEW;“安嘉耶斯——啥？”\n“安妮亚耶吉尔斯卡。我的名字就那么难念吗？”\n“有点。你能把它改掉吗？否则你将很难找到工作。”\n\n难念的名字和其古怪的写法为正在寻找工作的移民制造了麻烦。;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2040_NEW;大量移民的迁入为住房创造了需求。据报告许多移民都是十多二十人共住一间屋子，这催促着我们加快新住房的建设。否则这个小问题将最终导致瘟疫盛行以及骚乱爆发等大麻烦。;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2050_NEW;我们的其中一个省份的移民走上街头为他们缺乏平等公民权而抗议，他们要求确保所有$COUNTRY_ADJ$公民都能在法律面前平等。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2060_NEW;骚乱在我国某省份的移民社区爆发。尽管法律上是正式公民，但是许多移民感觉政府没有确保他们的权利，而且他们没有与真正的国民相等的机会。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EVTDESC2070_NEW;“我宣誓效忠于$COUNTRY_ADJ$国旗以及其政府。”\n\n当看到一群移民宣誓效忠并确认了他们对$COUNTRY$政府的忠诚时，无数观众的眼睛湿润了。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2080_NEW;来到$COUNTRY$的移民很少有办法获得金钱与机会。他们许多人在贫困的居住区潦倒度日，而这些居住区也变得越来越像贫民窟。做些什么来改善这里脏乱的居住环境应该是个不错的主意，至少不要让它恶化下去。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2090_NEW;新近抵达我国某省份的移民发现他们很难融入$COUNTRY_ADJ$大众，当地许多人亦将他们当做外来存在。移民住在城市里被单独分离出来的地区，也只去被分离出来的特殊学校以及店铺，并和外部社会鲜有联系。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2100_NEW;紧随我国某省份漫长的动荡局面，当地的反移民情绪已经引爆了一场全面的骚乱。移民者的店铺玻璃被打碎，几名刚抵达的移民也遭到杀害，因为不论真假，外地移民都被指责是社会问题的始作俑者。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2110_NEW;新近抵达的移民从他们的家乡带来了自己的文化，他们的音乐与我们的一起协同演奏了一首名叫$COUNTRY$的交响曲。他们的习俗丰富了我们的文化，并在艺术、科学与建筑领域创造了有趣又新颖的文化表达的融合。;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
