AAA_conservative_1;保守党;;;;;;;;;;;;;x
AAA_conservative_2;中立派;;;;;;;;;;;;;x
AAA_conservative_3;保王党;;;;;;;;;;;;;x
AAA_conservative_4;温和党;;;;;;;;;;;;;x
AAA_conservative_5;国家民主党;;;;;;;;;;;;;x
AAA_liberal_1;共和党;;;;;;;;;;;;x
AAA_liberal_2;议会党;;;;;;;;;;;;;x
AAA_liberal_3;改革党;;;;;;;;;;;;;x
AAA_liberal_4;自由民主党;;;;;;;;;;;;;x
AAA_liberal_5;国民自由党;;;;;;;;;;;;;x
AAA_socialist_1;国民社会党;;;;;;;;;;;;;x
AAA_socialist_2;劳工党;;;;;;;;;;;;;x
AAA_socialist_3;人民党;;;;;;;;;;;;;x
AAA_socialist_4;社会民主党;;;;;;;;;;;;;x
AAA_socialist_5;进步党;;;;;;;;;;;;;x
AAA_reactionary_1;传统主义党;;;;;;;;;;;;;x
AAA_reactionary_2;复兴党;;;;;;;;;;;;;x
AAA_anarcho_liberal_1;自由贸易党;;;;;;;;;;;;;x
AAA_anarcho_liberal_2;激进党;;;;;;;;;;;;;x
AAA_communist_1;工人党;;;;;;;;;;;;;x
AAA_communist_2;国际主义者;;;;;;;;;;;;;x
AAA_fascist_1;爱国战线;;;;;;;;;;;;;x
AAA_fascist_2;方阵党;;;;;;;;;;;;;x
