JAP;日本;;;;;;;;;x
J00;德川幕府;;;;;;;;;x
J01;Choshu;Choshu;Choshu;;Choshu;;;;;;;;;x
J02;Satsuma;Satsuma;Satsuma;;Satsuma;;;;;;;;;x
J03;Tosa;Tosa;Tosa;;Tosa;;;;;;;;;x
J04;Aizu;Aizu;Aizu;;Aizu;;;;;;;;;x
J05;琉球;;;;;;;;;x
J06;Mito;Mito;Mito;;Mito;;;;;;;;;x
J07;Owari;Owari;Owari;;Owari;;;;;;;;;x
J08;Kishu;Kishu;Kishu;;Kishu;;;;;;;;;x
J09;Kaga;Kaga;Kaga;;Kaga;;;;;;;;;x
J10;彦根;;;;;;;;x
J11;Fukui;Fukui;Fukui;;Fukui;;;;;;;;;x
J12;Saga;Saga;Saga;;Saga;;;;;;;;;x
J13;熊本;;;;;;;;;x
J14;福冈;;;;;;;;;x
J15;宇和岛;;;;;;;;;x
J16;德岛;;;;;;;;;x
J17;广岛;;;;;;;;;x
J18;鸟取;;;;;;;;;x
J19;冈山;;;;;;;;;x
J20;Suruga;Suruga;Suruga;;Suruga;;;;;;;;;x
J21;樱;;;;;;;;;x
J22;Matsushiro;Matsushiro;Matsushiro;;Matsushiro;;;;;;;;;x
J23;宇都宫;;;;;;;;;x
J24;长冈;;;;;;;;;x
J25;米泽;;;;;;;;;x
J26;仙台;;;;;;;;;x
J27;南部;;;;;;;;;x
J28;久保田;;;;;;;;;x
J29;虾夷;;;;;;;;;x
J30;小田原;;;;;;;;;x
J31;姬路;;;;;;;;;x
J32;Ainu mosir;Ainu mosir;Ainu mosir;;Ainu mosir;;;;;;;;;x
J33;Ouu Etsu Doumei;Ouu Etsu Doumei;Ouu Etsu Doumei;;Ouu Etsu Doumei;;;;;;;;;x
JAP_ADJ;日本的;;;;;;;;;x
J00_ADJ;Tokugawa;Tokugawa;Tokugawa;;Tokugawa;;;;;;;;;x
J01_ADJ;Choshu;Choshu;Choshu;;Choshu;;;;;;;;;x
J02_ADJ;Satsuma;Satsuma;Satsuma;;Satsuma;;;;;;;;;x
J03_ADJ;Tosa;Tosa;Tosa;;Tosa;;;;;;;;;x
J04_ADJ;Aizu;Aizu;Aizu;;Aizu;;;;;;;;;x
J05_ADJ;Ryukyu;Ryukyu;Ryukyu;;Ryukyu;;;;;;;;;x
J06_ADJ;Mito;Mito;Mito;;Mito;;;;;;;;;x
J07_ADJ;Owari;Owari;Owari;;Owari;;;;;;;;;x
J08_ADJ;Kishu;Kishu;Kishu;;Kishu;;;;;;;;;x
J09_ADJ;Kaga;Kaga;Kaga;;Kaga;;;;;;;;;x
J10_ADJ;Hikone;Hikone;Hikone;;Hikone;;;;;;;;;x
J11_ADJ;Fukui;Fukui;Fukui;;Fukui;;;;;;;;;x
J12_ADJ;Saga;Saga;Saga;;Saga;;;;;;;;;x
J13_ADJ;Kumamoto;Kumamoto;Kumamoto;;Kumamoto;;;;;;;;;x
J14_ADJ;Fukuoka;Fukuoka;Fukuoka;;Fukuoka;;;;;;;;;x
J15_ADJ;Uwajima;Uwajima;Uwajima;;Uwajima;;;;;;;;;x
J16_ADJ;Tokushima;Tokushima;Tokushima;;Tokushima;;;;;;;;;x
J17_ADJ;Hiroshima;Hiroshima;Hiroshima;;Hiroshima;;;;;;;;;x
J18_ADJ;Tottori;Tottori;Tottori;;Tottori;;;;;;;;;x
J19_ADJ;Okayama;Okayama;Okayama;;Okayama;;;;;;;;;x
J20_ADJ;Suruga;Suruga;Suruga;;Suruga;;;;;;;;;x
J21_ADJ;Sakura;Sakura;Sakura;;Sakura;;;;;;;;;x
J22_ADJ;Matsushiro;Matsushiro;Matsushiro;;Matsushiro;;;;;;;;;x
J23_ADJ;Utsunomiya;Utsunomiya;Utsunomiya;;Utsunomiya;;;;;;;;;x
J24_ADJ;Nagaoka;Nagaoka;Nagaoka;;Nagaoka;;;;;;;;;x
J25_ADJ;Yonezawa;Yonezawa;Yonezawa;;Yonezawa;;;;;;;;;x
J26_ADJ;Sendai;Sendai;Sendai;;Sendai;;;;;;;;;x
J27_ADJ;Nanbu;Nanbu;Nanbu;;Nanbu;;;;;;;;;x
J28_ADJ;Kubota;Kubota;Kubota;;Kubota;;;;;;;;;x
J29_ADJ;Ezo;Ezo;Ezo;;Ezo;;;;;;;;;x
J30_ADJ;Odawara;Odawara;Odawara;;Odawara;;;;;;;;;x
J31_ADJ;Himeji;Himeji;Himeji;;Himeji;;;;;;;;;x
J32_ADJ;Ainu mosir;Ainu mosir;Ainu mosir;;Ainu mosir;;;;;;;;;x
J33_ADJ;Ouu Etsu Doumei;Ouu Etsu Doumei;Ouu Etsu Doumei;;Ouu Etsu Doumei;;;;;;;;;x
