GEN_ADJ;热那亚的;;;;;;;;;;;x;
GEN;热那亚;;;;;;;;;;;x;
GEN_proletarian_dictatorship;热那亚公社;;;;;;;;;;;;x;
GEN_presidential_dictatorship;热那亚共和国;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_bourgeois_dictatorship;热那亚共和国;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_fascist_dictatorship;大热那亚国;State of Genoa;State of Genoa;;;;;;;;;;;x;
GEN_absolute_monarchy;热那亚大公国;;;;;;;;;;;x;
GEN_prussian_constitutionalism;热那亚大公国;;;;;;;;;;;x;
GEN_hms_government;热那亚大公国;;;;;;;;;;;x;
GEN_democracy;热那亚共和国;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_conservative_92;保守党;;;;;;;;;;;x;
GEN_liberal_79;自由党;;;;;;;;;;;x;
GEN_liberal_87;民族自由党;;;;;;;;;;;x;
GEN_socialist_85;社会党;;;;;;;;;;;x;
GEN_socialist_99;民族社会党;;;;;;;;;;;x;
GEN_reactionary_84;保皇党;;;;;;;;;;;x;
GEN_anarcho_liberal_93;激进党;;;;;;;;;;;x;
GEN_communist_86;共产党;;;;;;;;;;;x;
GEN_fascist_72;法西斯党;;;;;;;;;;;x;
