ARA_conservative;阿拉贡复兴党;;;;;;;;;;;x
ARA_liberal;阿拉贡中间党;;;;;;;;;;;x
ARA_anarcho_liberal;阿拉贡联合党;;;;;;;;;;;x
ARA_conservative_2;阿拉贡地方党;;;;;;;;;;;x
ARA_liberal_2;阿拉贡团结党;;;;;;;;;;;x
ARA_socialist;阿拉贡社会党;;;;;;;;;;;x
ARA_liberal_3;激进共和党;;;;;;;;;;x
ARA_reactionary;阿拉贡民族党;;;;;;;;;;;x
ARA_communist;阿拉贡共产党;;;;;;;;;;;x
ARA_fascist;阿拉贡法西斯党;;;;;;;;;;;x
BRG_liberal;自由党;;;;;;;;;;;x
BRG_conservative;加尔文党;;;;;;;;;;;x
BRG_socialist;勃艮第工人党;;;;;;;;;;;x
BRG_conservative_2;天主教民主党;;;;;;;;;;;x
BRG_conservative_3;保守党;;;;;;;;;;;x
BRG_reactionary;国家党;;;;;;;;;;;x
BRG_anarcho_liberal;激进党;;;;;;;;;;;x
BRG_communist;共产党;;;;;;;;;;;x
BRG_fascist;勃艮第民族同盟;;;;;;;;;;;x
DNG_reactionary;保守党;;;;;;;;;;;x
DNG_liberal;自由党;;;;;;;;;;;x
DNG_liberal_2;西化派;;;;;;;;;;;x
DNG_conservative;国家党;;;;;;;;;;;x
DNG_liberal_3;新自由党;;;;;;;;;;;x
DNG_anarcho_liberal;激进党;;;;;;;;;;;x
DNG_conservative_2;保皇党;;;;;;;;;;;x
DNG_socialist;社会党;;;;;;;;;;;x
DNG_communist;共产党;;;;;;;;;;;x
DNG_fascist;法西斯党;;;;;;;;;;;x
GAN_reactionary;保守党;;;;;;;;;;;x
GAN_liberal;自由党;;;;;;;;;;;x
GAN_liberal_2;西化派;;;;;;;;;;;x
GAN_conservative;国家党;;;;;;;;;;;x
GAN_liberal_3;新自由党;;;;;;;;;;;x
GAN_anarcho_liberal;激进党;;;;;;;;;;;x
GAN_conservative_2;保皇党;;;;;;;;;;;x
GAN_socialist;社会党;;;;;;;;;;;x
GAN_communist;共产党;;;;;;;;;;;x
GAN_fascist;法西斯党;;;;;;;;;;;x
FUN_conservative;皇家派;;;;;;;;;;;x
FUN_liberal;自由派;;;;;;;;;;;x
FUN_reactionary;民族派;;;;;;;;;;;x
FUN_anarcho_liberal;激进派;;;;;;;;;;;x
INC_conservative;皇家派;;;;;;;;;;;x
INC_liberal;自由派;;;;;;;;;;;x
INC_reactionary;民族派;;;;;;;;;;;x
INC_anarcho_liberal;激进派;;;;;;;;;;;x
MAL_conservative;皇家派;;;;;;;;;;;x
MAL_liberal;自由派;;;;;;;;;;;x
MAL_reactionary;民族派;;;;;;;;;;;x
MAL_anarcho_liberal;激进派;;;;;;;;;;;x
MUS_conservative;斯拉夫主义;;;;;;;;;;;x
MUS_liberal;西化派;;;;;;;;;;;x
MUS_communist;社会民主工党;;;;;;;;;;;x
MUS_communist_2;布尔什维克;;;;;;;;;;;x
MUS_socialist;孟什维克;;;;;;;;;;;x
MUS_reactionary;泛斯拉夫主义;;;;;;;;;;;x
MUS_liberal_2;立宪民主党;;;;;;;;;;;x
MUS_conservative_2;十月党;;;;;;;;;;;x
MUS_socialist_2;民粹派;;;;;;;;;;;x
MUS_socialist_3;社会革命党;;;;;;;;;;;x
MUS_anarcho_liberal;激进党;;;;;;;;;;;x
MUS_fascist;法西斯党;;;;;;;;;;;x
NAN_conservative;基督教党;;;;;;;;;;;x
NAN_liberal;改革党;;;;;;;;;;;x
NAN_reactionary;天主党;;;;;;;;;;;x
NAN_anarcho_liberal;世俗党;;;;;;;;;;;x
NAN_socialist;社会党;;;;;;;;;;;x
NAN_communist;共产党;;;;;;;;;;;x
NAN_fascist;正义联盟;;;;;;;;;;;x
NBG_liberal;爱国党;;;;;;;;;;;x
NBG_liberal_2;自由党;;;;;;;;;;;x
NBG_conservative;保守党;;;;;;;;;;;x
NBG_socialist;劳工党;;;;;;;;;;;x
NBG_liberal_3;国家党;;;;;;;;;;;x
NBG_reactionary;民族党;;;;;;;;;;;x
NBG_anarcho_liberal;激进党;;;;;;;;;;;x
NBG_communist;共产党;;;;;;;;;;;x
NBG_fascist;法西斯党;;;;;;;;;;;x
LOT_liberal;爱国党;;;;;;;;;;;x
LOT_liberal_2;自由党;;;;;;;;;;;x
LOT_conservative;保守党;;;;;;;;;;;x
LOT_socialist;劳工党;;;;;;;;;;;x
LOT_liberal_3;国家党;;;;;;;;;;;x
LOT_reactionary;民族党;;;;;;;;;;;x
LOT_anarcho_liberal;激进党;;;;;;;;;;;x
LOT_communist;共产党;;;;;;;;;;;x
LOT_fascist;法西斯党;;;;;;;;;;;x
NOV_liberal;自由党;;;;;;;;;;;x
NOV_conservative;中间党;;;;;;;;;;;x
NOV_liberal_2;自由国家党 ;;;;;;;;;;;x
NOV_liberal_3;自由党;;;;;;;;;;;x
NOV_socialist;工党;;;;;;;;;;;x
NOV_socialist_2;社会党;;;;;;;;;;;x
NOV_socialist_3;社会主义工人党;;;;;;;;;;;x
NOV_reactionary;民族党;;;;;;;;;;;x
NOV_conservative_2;保守党;;;;;;;;;;;x
NOV_conservative_3;基督教工人党;;;;;;;;;;;x
NOV_anarcho_liberal;激进工人党;;;;;;;;;;;x
NOV_communist;共产党;;;;;;;;;;;x
NOV_fascist;祖国同盟;;;;;;;;;;;x
PLA_liberal;爱国党;;;;;;;;;;;x
PLA_liberal_2;自由党;;;;;;;;;;;x
PLA_conservative;保守党;;;;;;;;;;;x
PLA_socialist;劳工党;;;;;;;;;;;x
PLA_liberal_3;国家党;;;;;;;;;;;x
PLA_reactionary;民族党;;;;;;;;;;;x
PLA_anarcho_liberal;激进党;;;;;;;;;;;x
PLA_communist;共产党;;;;;;;;;;;x
PLA_fascist;法西斯党;;;;;;;;;;;x
AMA_liberal;爱国党;;;;;;;;;;;x
AMA_liberal_2;自由党;;;;;;;;;;;x
AMA_conservative;保守党;;;;;;;;;;;x
AMA_socialist;劳工党;;;;;;;;;;;x
AMA_liberal_3;国家党;;;;;;;;;;;x
AMA_reactionary;民族党;;;;;;;;;;;x
AMA_anarcho_liberal;激进党;;;;;;;;;;;x
AMA_communist;共产党;;;;;;;;;;;x
AMA_fascist;法西斯党;;;;;;;;;;;x
VIJ_conservative;皇家派;;;;;;;;;;;x
VIJ_liberal;自由派;;;;;;;;;;;x
